metric,preferred_direction,first_model,second_model,n_pairs,first_mean,second_mean,mean_difference,median_difference,wilcoxon_statistic,p_value_raw,rank_biserial,p_value_holm
test_rmse_percent,lower,GLM,MLP,8,0.5537518100938769,0.5645802408776721,-0.010828430783795223,0.006689740180354675,18.0,1.0,0.0,1.0
test_rmse_percent,lower,GLM,PINN,8,0.5537518100938769,0.5018904459952784,0.051861364098598386,0.0704190531667854,7.0,0.1484375,0.6111111111111112,0.328125
test_rmse_percent,lower,MLP,PINN,8,0.5645802408776721,0.5018904459952784,0.06268979488239361,0.07310596263164021,6.0,0.109375,0.6666666666666666,0.328125
test_mae_percent,lower,GLM,MLP,8,0.45160378212239394,0.4633056031838955,-0.01170182106150159,0.031157076547261325,17.0,0.9453125,-0.05555555555555555,0.9453125
test_mae_percent,lower,GLM,PINN,8,0.45160378212239394,0.4153263119538946,0.036277470168499346,0.04915169939985212,9.0,0.25,0.5,0.5
test_mae_percent,lower,MLP,PINN,8,0.4633056031838955,0.4153263119538946,0.047979291230000935,0.05765277386532472,7.0,0.1484375,0.6111111111111112,0.4453125
test_r2,higher,GLM,MLP,8,0.03461922231203338,-0.14178725836806294,0.17640648068009634,-0.015133572767557696,17.0,0.9453125,0.05555555555555555,0.9453125
test_r2,higher,GLM,PINN,8,0.03461922231203338,0.15248622652359767,-0.11786700421156429,-0.20728986953209047,11.0,0.3828125,-0.3888888888888889,0.765625
test_r2,higher,MLP,PINN,8,-0.14178725836806294,0.15248622652359767,-0.29427348489166066,-0.24404608062133026,5.0,0.078125,-0.7222222222222222,0.234375
test_pearson_r,higher,GLM,MLP,8,0.46037020323178346,0.7108648832026376,-0.25049467997085423,-0.18759921315974037,0.0,0.0078125,-1.0,0.0234375
test_pearson_r,higher,GLM,PINN,8,0.46037020323178346,0.7540040356053259,-0.2936338323735425,-0.22868206713335054,1.0,0.015625,-0.9444444444444444,0.03125
test_pearson_r,higher,MLP,PINN,8,0.7108648832026376,0.7540040356053259,-0.043139152402688286,-0.04816778188861526,5.0,0.078125,-0.7222222222222222,0.078125
